book_code,chapter,verse,word
1-ne,2,10,mightest
1-ne,2,10,valley
1-ne,2,10,afirm
1-ne,2,10,bsteadfast
1-ne,2,10,immovable
1-ne,2,10,keeping
1-ne,2,10,commandments
1-ne,2,10,lord
1-ne,2,10,11
1-ne,2,10,spake
1-ne,2,10,astiffneckedness
1-ne,2,10,laman
1-ne,2,10,lemuel
1-ne,2,10,bmurmur
1-ne,2,10,cfather
1-ne,2,10,dvisionary
1-ne,2,10,led
1-ne,2,10,land
1-ne,2,10,jerusalem
1-ne,2,10,leave
1-ne,2,10,land
1-ne,2,10,inheritance
1-ne,2,10,gold
1-ne,2,10,silver
1-ne,2,10,precious
1-ne,2,10,perish
1-ne,2,10,wilderness
1-ne,2,10,foolish
1-ne,2,10,imaginations
1-ne,2,10,heart
1-ne,2,11,laman
1-ne,2,11,lemuel
1-ne,2,11,eldest
1-ne,2,11,murmur
1-ne,2,11,afather
1-ne,2,11,bmurmur
1-ne,2,11,cknew
1-ne,2,11,dealings
1-ne,2,11,god
1-ne,2,11,dcreated
1-ne,2,12,abelieve
1-ne,2,12,jerusalem
1-ne,2,12,city
1-ne,2,12,bdestroyed
1-ne,2,12,words
1-ne,2,12,prophets
1-ne,2,12,jews
1-ne,2,12,jerusalem
1-ne,2,12,sought
1-ne,2,12,life
1-ne,2,12,father
1-ne,2,13,father
1-ne,2,13,speak
1-ne,2,13,avalley
1-ne,2,13,lemuel
1-ne,2,13,bpower
1-ne,2,13,filled
1-ne,2,13,spirit
1-ne,2,13,frames
1-ne,2,13,cshake
1-ne,2,13,confound
1-ne,2,13,durst
1-ne,2,13,utter
1-ne,2,13,commanded
1-ne,2,14,father
1-ne,2,14,dwelt
1-ne,2,14,atent
1-ne,2,15,nephi
1-ne,2,15,exceedingly
1-ne,2,15,stature
1-ne,2,15,desires
1-ne,2,15,amysteries
1-ne,2,15,god
1-ne,2,15,cry
1-ne,2,15,lord
1-ne,2,15,bvisit
1-ne,2,15,csoften
1-ne,2,15,heart
1-ne,2,15,dbelieve
1-ne,2,15,words
1-ne,2,15,spoken
1-ne,2,15,efather
1-ne,2,15,frebel
1-ne,2,15,brothers
1-ne,2,16,spake
1-ne,2,16,sam
1-ne,2,16,lord
1-ne,2,16,manifested
1-ne,2,16,holy
1-ne,2,16,spirit
1-ne,2,16,believed
1-ne,2,16,words
1-ne,2,17,laman
1-ne,2,17,lemuel
1-ne,2,17,hearken
1-ne,2,17,words
1-ne,2,17,agrieved
1-ne,2,17,hardness
1-ne,2,17,hearts
1-ne,2,17,cried
1-ne,2,17,lord
1-ne,2,18,lord
1-ne,2,18,spake
1-ne,2,18,blessed
1-ne,2,18,art
1-ne,2,18,nephi
1-ne,2,18,afaith
1-ne,2,18,hast
1-ne,2,18,sought
1-ne,2,18,diligently
1-ne,2,18,lowliness
1-ne,2,18,heart
